,R1,R2
0,4.779670340610494,1.0223084380582312
1,4.904914733472106,1.0203470036602613
2,4.759640973792582,1.0222622358550193
3,4.637920885730061,1.0222293285658237
4,4.63790824517851,1.0204008459555427
5,4.405473227627791,1.0168413523066153
6,4.405690079713272,1.0156151218757092
7,4.321476483136353,1.0163200837192834
8,4.3220134853698955,1.0135599388833643
9,4.162128919792039,1.0100402446405663
10,3.7857933124662084,1.004746095577987
11,3.7484577033619826,1.0032397049560915
12,3.5370586254839367,1.0022865639985936
13,3.536705209256687,1.003402334590145
14,3.53618875468314,1.004992836424491
15,3.5367265956858076,1.0033031232434482
16,3.5361613965360434,1.0050798808684773
17,3.279072141779948,1.003876704025865
18,3.2207749491627506,1.0063745723188262
19,3.2210970109551664,1.005478214181324
20,2.8866887096470677,1.0150878745061664
21,2.8667297843386286,1.0163497677403714
22,2.779367277144027,1.0205135063017212
23,2.501453960730129,1.040720168655692
24,2.5010271332109197,1.041638398494442
25,2.5010614389736983,1.041522120973927
26,2.298665082394242,1.0652384197788605
27,2.2979834620565414,1.066578079859292
28,2.2028738197820403,1.0810560897846422
29,2.2031991367405057,1.08044415939445
30,2.2027378188412867,1.0813145392177201
31,2.1394632348167213,1.091942665069069
32,2.139516071155551,1.0918414818292304
33,2.0261638570132514,1.116197594964361
34,1.8923882540702823,1.1518727577065986
35,1.7147028531511812,1.2150298045118257
36,1.7159470077849572,1.213313046863566
37,1.665542278897229,1.2377112134862607
38,1.6668061801175285,1.236019124319162
39,1.5890564065798995,1.2792041204132796
40,1.5880085960067085,1.2790269350860024
41,1.4722287768819375,1.3584711448041353
42,1.4771818934181995,1.356212769407093
43,1.472656079122917,1.3538114234736653
44,1.512672151973564,1.3196793921048193
45,1.492927961031342,1.327538067396022
46,1.4825853036918428,1.3319549083800548
47,1.4615343336897926,1.3403136577619643
48,1.474477434242407,1.3217225673842448
49,1.467240081301709,1.3206189467116356
50,1.464193332393394,1.3252595884236102
51,1.4354532679817693,1.3337857498643788
52,1.4354782178881227,1.3337496157227664
53,1.418888180428589,1.339296417881256
54,1.4185876008224896,1.3396186153977536
55,1.419155358631725,1.3384728730249218
56,1.4169892567213125,1.3413371260018239
57,1.4175090994412198,1.3407704607176307
58,1.4231862608052275,1.3286401898863738
59,1.4237919627011835,1.3275500526780546
60,1.4215327446926869,1.3281623320218636
61,1.397538810223351,1.32954688855074
62,1.3931835953177267,1.330767943384259
63,1.3964855965445806,1.3295164682821716
64,1.3806186049302165,1.3346015311415742
65,1.3479431590440951,1.3427210313822524
66,1.338145057643582,1.338768529001653
67,1.3359109043570423,1.3406794501073147
68,1.3377501841600068,1.3391787378116307
69,1.3384766777025177,1.3237769400287622
70,1.3272241344812776,1.3272995105949381
71,1.326412157928493,1.328094672841227
72,1.3043784934193428,1.3325756194993086
73,1.309482054377703,1.3112883280233534
74,1.309491284869796,1.3112762300529086
75,1.3022597769624014,1.3121483079851224
76,1.278489712156402,1.3169122541288765
77,1.2790701986683812,1.3163616792364679
78,1.2789549837861243,1.2981653968840683
79,1.2607187932950379,1.2811752806624648
80,1.259613935321894,1.2822356258197012
81,1.2601417446026768,1.281730874922153
82,1.2613236931515956,1.2805909296731053
83,1.2345587307875292,1.2545211775875929
84,1.198785728178076,1.2319221416900732
85,1.2002540167154057,1.2306172146989556
86,1.1980440068973117,1.232592717182129
87,1.187061656472541,1.234187289358758
88,1.1878011832972513,1.2335289671525183
89,1.1893368291707676,1.2302817947924878
90,1.190774111188627,1.192908149516958
91,1.184918612260814,1.1933413741779428
92,1.1846629548843002,1.1935697213318033
93,1.1719959968257219,1.1889499835461534
94,1.1733260634237237,1.1817657748305779
95,1.1737937493206139,1.1491351807646764
96,1.1721567914733806,1.1509543153919655
97,1.1753964474252376,1.0988832022072104
98,1.1756193224089113,1.0985426696435243
99,1.143039688914999,1.0912013056845626
100,1.1441031364144911,1.0643641307297318
101,1.1437941110497747,1.0649626884070664
102,1.1443665699689578,1.0636617013478904
103,1.1317776430401696,1.061270806099558
104,1.1321306490093888,1.036413915330907
105,1.1319976628288575,1.0368434435146114
106,1.1316211707617811,1.0263757864348564
107,1.1317098352402029,1.0124122879221138
108,1.113352511953385,1.0141938400500015
109,1.1136678395771755,1.0121307990583062
110,1.1036092053470599,1.0025326938618178
111,1.1010050597799923,1.0010582769188825
112,1.1036857434071499,1.0019199773370884
113,1.0985677426119125,1.0030128708006754
114,1.0986953061074438,1.0019607411436724
115,1.098720067872066,1.0017571237000729
116,1.071934267291827,1.001390635011816
117,1.0717744966765939,1.0031635133889514
118,1.034645535766632,1.0007658160934405
119,1.0346166385437006,1.001438654358371
120,1.0346079795041527,1.0015546730280993
121,1.0191759173374768,1.0015100259536382
122,1.0191527471002437,1.0024517556561905
123,1.0191685681571467,1.0017966953787447
124,1.003471629941405,1.0017358109422239
125,1.003467020553692,1.0026726928218443
126,1.0034649685620767,1.003080222642929
127,1.0034578520288462,1.0045477402892888
128,1.003470921657654,1.001879298099375
129,1.0025827807409529,1.0028650396048329
130,1.0034672223265848,1.0026227544080824
131,1.0034649898846901,1.003084425092999
132,1.003456885999813,1.0047408415089896
133,1.0034713103347181,1.0018006887210784
134,1.003465717624426,1.0029394806275704
135,1.0034602057188173,1.0040169049227774
136,1.002726175948388,1.0018488459658457
137,1.0029399767970595,1.0026049414310498
138,1.0036546134290953,1.0018278343693796
139,1.003466988948573,1.0026763315826426
140,1.0034651478012009,1.0030427965020094
141,1.0034655828797276,1.0029692945964694
142,1.0034652304086753,1.0030399157783405
143,1.0034660302778315,1.002878170946415
144,1.0034694596870597,1.0021751311080165
145,1.0034669296975849,1.002691322131528
146,1.0034654024912253,1.002992752508413
147,1.0034652054942856,1.0030450085441442
148,1.003465475905277,1.0029910761554444
149,1.003465591919659,1.0029663381020293
150,1.0034683747667195,1.0023949403319514
151,1.0006148203148433,1.0031001713370375
152,1.0033133872137228,1.0018356321408892
153,1.003466333020108,1.0025946458306754
154,1.0034730480762786,1.0014527377321625
155,1.0034676530286364,1.002524882088213
156,1.0026788433728526,1.0018498776404605
157,1.0034655131508763,1.0029790473222158
158,1.0007593542755218,1.0030625745120567
159,1.0040140750798807,1.0018196457509305
160,1.0034660758303493,1.002864288163428
161,1.0034686705959386,1.0023339162460052
162,1.003461090424936,1.0038746492417436
163,1.0021264513565034,1.0048262780216042
164,1.0047037188053405,1.001804280802129
165,1.00346866633822,1.0023389951022055
166,1.0030119370526829,1.0027598346770914
167,1.0034722237203,1.0016136988155417
168,1.0034697672549755,1.0021103363050057
169,1.0004032590259848,1.002772908734712
170,1.0003962042410797,1.0030213428864305
171,1.0007960792195392,1.0018314883248123
172,1.0017421656154792,1.0018303888518856
173,1.0013882713024025,1.0018307987905033
174,1.0013654910570828,1.0018308111494658
175,1.0013548491831927,1.001830820737582
176,1.0012842607468158,1.0018309052827
177,1.0030490752900505,1.0018288607540216
178,1.0002385564162521,1.0018321434521509
179,1.001404683877174,1.0018307731241334
180,1.001393808348002,1.00183077747558
181,1.001416234267345,1.0018307471500865
182,1.0013335670080892,1.0018308520217758
183,1.0030291890171652,1.0018288854664716
184,1.0004803719919433,1.0018318607697243
185,1.0015996811042744,1.0018305551246753
186,1.0005420478986409,1.001831798882343
187,1.0016095260680402,1.0018305437120258
188,1.0013255292900147,1.0018308731043748
189,1.0030447903631694,1.0018289240552245
190,1.000177250516796,1.0018322164331828
191,1.000997589085978,1.0018312564892113
192,1.0017516520914664,1.0018303722393727
193,1.0013801443456356,1.0018308084216927
194,1.0014251336697904,1.0018307364752528
195,1.0014350991536691,1.0018307282955599
196,1.001350751015663,1.0018308286800406
197,1.0029487543351077,1.0018290150879738
198,1.0003557384040753,1.0018320071205014
199,1.0013138450825556,1.001830888464955
